country,count,alpha2,alpha3,numeric,latitude,longitude
British,837,,,,,
American,753,,,,,
NA,681,,,,,
French,564,,,,,
Italian,369,,,,,
German,208,,,,,
Egypt,161,EG,EGY,818.0,27.0,30.0
Dutch,154,,,,,
Netherlandish,103,,,,,
Japan,87,JP,JPN,392.0,36.0,138.0
Japanese,83,,,,,
France,68,FR,FRA,250.0,46.0,2.0
China,59,CN,CHN,156.0,35.0,105.0
United States,51,US,USA,840.0,38.0,-97.0
Spanish,49,,,,,
Flemish,45,,,,,
Greek,38,,,,,
Austrian,32,,,,,
Roman,30,,,,,
England,30,,,,,
Germany,29,DE,DEU,276.0,51.0,9.0
Mexican,27,,,,,
Peru,27,PE,PER,604.0,-10.0,-76.0
Bohemian,26,,,,,
South Netherlandish,26,,,,,
Italy,24,IT,ITA,380.0,42.8333,12.8333
Swiss,23,,,,,
Spain,15,ES,ESP,724.0,40.0,-4.0
India,15,IN,IND,356.0,20.0,77.0
Chinese,15,,,,,
Iran,15,,,,,
Mexico,14,MX,MEX,484.0,23.0,-102.0
Danish,10,,,,,
European,9,,,,,
American or European,7,,,,,
Russian,7,,,,,
Irish,7,,,,,
Etruscan,6,,,,,
Cypriot,5,,,,,
Swedish,5,,,,,
Southern Netherlands,4,,,,,
The Netherlands,4,,,,,
Assyrian,4,,,,,
Belgian,4,,,,,
Uruguayan,3,,,,,
Netherlands,3,NL,NLD,528.0,52.5,5.75
Israeli,3,,,,,
probably French,3,,,,,
Canada,3,CA,CAN,124.0,60.0,-95.0
Western India,3,,,,,
South Netherlands,3,,,,,
Babylonian,3,,,,,
Hungarian,3,,,,,
Greek or Roman,2,,,,,
Elamite,2,,,,,
Austria,2,AT,AUT,40.0,47.3333,13.3333
Argentinian,2,,,,,
Indonesia,2,ID,IDN,360.0,-5.0,120.0
Belgium,2,BE,BEL,56.0,50.8333,4.0
Parthian,2,,,,,
Cuban,2,,,,,
Turkey,2,TR,TUR,792.0,39.0,35.0
Switzerland,2,CH,CHE,756.0,47.0,8.0
Brazilian,2,,,,,
Great Britain,2,,,,,
Kassite,2,,,,,
Czech,2,,,,,
Egyptian,2,,,,,
Tibet,2,,,,,
Indian,2,,,,,
British and American,2,,,,,
present,2,,,,,
First Nations,2,,,,,
possibly British,1,,,,,
possibly French,1,,,,,
Ukrainian,1,,,,,
Portuguese,1,,,,,
Hittite,1,,,,,
South German,1,,,,,
Catalan,1,,,,,
East French,1,,,,,
German American,1,,,,,
Central European or French,1,,,,,
Canadian,1,,,,,
Romanian,1,,,,,
Celtic,1,,,,,
North Netherlands,1,,,,,
North Netherlandish,1,,,,,
Scandinavian,1,,,,,
North India,1,,,,,
Achaemenid,1,,,,,
Norwegian,1,,,,,
Thailand,1,TH,THA,764.0,15.0,100.0
Maya,1,,,,,
Byzantine Egypt,1,,,,,
Ghanaian,1,,,,,
Costa Rica or Panama,1,,,,,
Gabon,1,GA,GAB,266.0,-1.0,11.75
North French,1,,,,,
Colombia or Ecuador,1,,,,,
Argentina,1,AR,ARG,32.0,-34.0,-64.0
Mali or Ghana,1,,,,,
Egypt or Italy,1,,,,,
Scottish,1,,,,,
South African,1,,,,,
Minoan,1,,,,,
Sumerian,1,,,,,
Africa,1,,,,,
Sasanian,1,,,,,
Northern European,1,,,,,
Hunkpapa Lakota,1,,,,,
Australian,1,,,,,
Sierra Leone,1,SL,SLE,694.0,8.5,-11.5
possibly Germany,1,,,,,
Mali,1,ML,MLI,466.0,17.0,-4.0
Byzantine,1,,,,,
Democratic Republic of the Congo,1,,,,,
Guatemala or Mexico,1,,,,,
African Peruvian,1,,,,,
